1944.7,4742
3889.4,6128
5834,6494
7778.7,5379
9723.4,6011
11668,7003
13613,9164
15557,10333
17502,9614
19447,9545
21391,10096
23336,13277
25281,15711
27225,13135
29170,13077
31115,15453
33059,15995
35004,18071
36949,20291
38894,20175
40838,18975
42783,17928
44728,19782
46672,26055
48617,29856
50562,26879
52506,24485
54451,27745
56396,27282
58340,29418
60285,29908
62230,29278
64174,26002
66119,23826
68064,22302
70008,27565
71953,31486
73898,28207
75842,27669
77787,27559
79732,27924
81676,27528
83621,27410
85566,24887
87510,21904
89455,19598
91400,19037
93344,22469
95289,23781
97234,20020
99178,18177
1.01E+05,17732
1.03E+05,16765
1.05E+05,16310
1.07E+05,14897
1.09E+05,12940
1.11E+05,11465
1.13E+05,10364
1.15E+05,11738
1.17E+05,17633
1.19E+05,19257
1.21E+05,20941
1.23E+05,29718
1.24E+05,35025
1.26E+05,45110
1.28E+05,57154
1.30E+05,61499
1.32E+05,62090
1.34E+05,59561
1.36E+05,48531
1.38E+05,47541
1.40E+05,56756
1.42E+05,56755
1.44E+05,49740
1.46E+05,45870
1.48E+05,49136
1.50E+05,47256
1.52E+05,46324
1.54E+05,45453
1.56E+05,42333
1.58E+05,36851
1.59E+05,33952
1.61E+05,33392
1.63E+05,43153
1.65E+05,46178
1.67E+05,40482
1.69E+05,36394
1.71E+05,37142
1.73E+05,36424
1.75E+05,38188
1.77E+05,37174
1.79E+05,31869
1.81E+05,26575
1.83E+05,21758
1.85E+05,20978
1.87E+05,29555
1.89E+05,28649
1.91E+05,24226
1.93E+05,21955
1.94E+05,19937
1.96E+05,18287
1.98E+05,18129
2.00E+05,17072
2.02E+05,14924
2.04E+05,12491
2.06E+05,11160
2.08E+05,10658
2.10E+05,15451
2.12E+05,15831
2.14E+05,13698
2.16E+05,12111
2.18E+05,12690
2.20E+05,12585
2.22E+05,12855
2.24E+05,12137
2.26E+05,10977
2.28E+05,9993
2.29E+05,9614
2.31E+05,10459
2.33E+05,20509
2.35E+05,19490
2.37E+05,17611
2.39E+05,16206
2.41E+05,17560
2.43E+05,18082
2.45E+05,19482
2.47E+05,19200
2.49E+05,18918
2.51E+05,17375
2.53E+05,16122
2.55E+05,17269
2.57E+05,26261
2.59E+05,24911
2.61E+05,21969
2.63E+05,21956
2.64E+05,20944
2.66E+05,22200
2.68E+05,24002
2.70E+05,22951
2.72E+05,20143
2.74E+05,17187
2.76E+05,15287
2.78E+05,17394
2.80E+05,26321
2.82E+05,26943
2.84E+05,23735
2.86E+05,20744
2.88E+05,21090
2.90E+05,21502
2.92E+05,21275
2.94E+05,19426
2.96E+05,16798
2.98E+05,14209
2.99E+05,13357
3.01E+05,14766
3.03E+05,25092
3.05E+05,23460
3.07E+05,19551
3.09E+05,15898
3.11E+05,16012
3.13E+05,16054
3.15E+05,15910
3.17E+05,13873
3.19E+05,11854
3.21E+05,10138
3.23E+05,9942
3.25E+05,11262
3.27E+05,19601
3.29E+05,17778
3.31E+05,13854
3.33E+05,12681
3.34E+05,11328
3.36E+05,11946
3.38E+05,13043
3.40E+05,12785
3.42E+05,11937
3.44E+05,11383
3.46E+05,10282
3.48E+05,11316
3.50E+05,19652
3.52E+05,18337
3.54E+05,16779
3.56E+05,15504
3.58E+05,17258
